mysql> SELECT ElectronicMail.content, accounts.id FROM AddressBook JOIN Entry JOIN ElectronicMail JOIN (SELECT Account.id FROM Account JOIN (SELECT accountId FROM AddressBook JOIN(SELECT addressBookId FROM Entry JOIN(SELECT entryId FROM Phone WHERE content LIKE '_-%' GROUP BY entryId) AS entryTable WHERE (Entry.id=entryTable.entryId)) AS addressTable WHERE(AddressBook.id=addressTable.addressBookId)) AS accountTable WHERE(Account.id=accountTable.accountId) GROUP BY Account.id) AS accounts WHERE(accounts.id=AddressBook.accountId AND AddressBook.id=Entry.addressBookId AND Entry.id=ElectronicMail.entryId) ORDER BY accounts.id;
+--------------------------------------------------------+----+
| content                                                | id |
+--------------------------------------------------------+----+
| eu.eleifend.nec@Sed.co.uk                              |  1 |
| elit@ipsumleo.edu                                      |  1 |
| Fusce@Ut.net                                           |  1 |
| pede.Praesent.eu@loremacrisus.ca                       |  1 |
| ornare.tortor@CuraeDonec.org                           |  1 |
| ultrices@vel.net                                       |  1 |
| Pellentesque.habitant.morbi@volutpat.ca                |  1 |
| mi.tempor@tellusPhasellus.co.uk                        |  1 |
| auctor@nislNulla.ca                                    |  1 |
| elementum@vitae.ca                                     |  1 |
| eu.accumsan.sed@et.org                                 |  1 |
| tellus.eu.augue@metusAliquamerat.com                   |  1 |
| nibh.dolor.nonummy@pharetranibh.co.uk                  |  1 |
| nunc@molestie.co.uk                                    |  1 |
| tincidunt.vehicula@commodo.org                         |  1 |
| gravida.non.sollicitudin@erat.org                      |  1 |
| bibendum.ullamcorper@Sedeget.org                       |  1 |
| nulla.magna.malesuada@fringilla.ca                     |  1 |
| quam@vulputatelacus.org                                |  1 |
| Nullam.ut@mauris.edu                                   |  1 |
| Curabitur.dictum.Phasellus@Maurisvel.edu               |  2 |
| pede.malesuada.vel@vehicula.org                        |  2 |
| magna.Ut@Nulla.ca                                      |  2 |
| amet.risus@velit.com                                   |  2 |
| semper@estacfacilisis.edu                              |  2 |
| adipiscing@risusaultricies.net                         |  2 |
| velit.Pellentesque.ultricies@egestasAliquam.net        |  2 |
| dolor.elit.pellentesque@magna.ca                       |  2 |
| Cras@ridiculusmus.co.uk                                |  2 |
| Aenean.massa.Integer@In.co.uk                          |  2 |
| elit.Etiam.laoreet@lacusMaurisnon.edu                  |  2 |
| in@adipiscingelitAliquam.edu                           |  2 |
| accumsan.convallis@egestasDuisac.org                   |  2 |
| auctor.Mauris.vel@portaelit.ca                         |  2 |
| nunc@Duis.net                                          |  2 |
| Nulla@in.edu                                           |  2 |
| Nunc.pulvinar.arcu@mollis.org                          |  2 |
| molestie.tellus.Aenean@rutrumFuscedolor.com            |  2 |
| feugiat.Lorem.ipsum@gravida.com                        |  2 |
| lectus@imperdietdictummagna.ca                         |  2 |
| neque.non.quam@tinciduntvehicularisus.org              |  2 |
| molestie.Sed@pedeCumsociis.edu                         |  2 |
| ac@Aenean.co.uk                                        |  2 |
| eu.placerat.eget@luctusfelispurus.edu                  |  2 |
| lacus.varius@dignissimMaecenas.edu                     |  2 |
| adipiscing@imperdietnec.co.uk                          |  2 |
| rutrum.eu@Nullamvelitdui.ca                            |  2 |
| tortor@MaurisnullaInteger.net                          |  2 |
| massa@mauris.com                                       |  2 |
| non.sapien@imperdietdictum.net                         |  2 |
| erat.Etiam.vestibulum@vulputateeu.org                  |  2 |
| dapibus@Donec.com                                      |  2 |
| nunc@dui.net                                           |  2 |
| Aliquam.adipiscing.lobortis@ligula.ca                  |  2 |
| Vivamus@diamProindolor.ca                              |  2 |
| ipsum.primis@metusurna.edu                             |  2 |
| lobortis.risus@Uttinciduntorci.com                     |  2 |
| arcu@Nullamvelitdui.co.uk                              |  2 |
| odio.Etiam.ligula@metuseu.edu                          |  2 |
| sit@a.co.uk                                            |  2 |
| interdum.libero@ligulaNullamenim.com                   |  2 |
| luctus.Curabitur.egestas@Morbimetus.org                |  2 |
| tempor@eutellus.net                                    |  2 |
| Proin.sed@vellectus.net                                |  2 |
| dictum.magna.Ut@auctornuncnulla.edu                    |  2 |
| ac.fermentum@Nullam.org                                |  2 |
| auctor.vitae.aliquet@blandit.co.uk                     |  2 |
| lacus.vestibulum.lorem@idmagna.net                     |  2 |
